timestamp,acceleration_x,acceleration_y,acceleration_z,solenoid_status
116206,-0.13,-0.17,9.88,0
116209,-0.14,-0.16,9.88,0
116212,-0.14,-0.17,9.88,0
116214,-0.13,-0.19,9.88,0
116217,-0.13,-0.18,9.87,0
116220,-0.12,-0.20,9.88,0
116223,-0.11,-0.17,9.88,0
116226,-0.11,-0.17,9.88,0
116229,-0.10,-0.17,9.87,0
116232,-0.12,-0.17,9.88,0
116234,-0.15,-0.15,9.87,0
116237,-0.12,-0.17,9.91,0
116240,-0.13,-0.18,9.89,0
116243,-0.10,-0.18,9.89,0
116246,-0.11,-0.17,9.89,0
116249,-0.13,-0.17,9.89,0
116252,-0.13,-0.18,9.89,0
116254,-0.12,-0.19,9.87,0
116257,-0.14,-0.18,9.88,0
116260,-0.13,-0.17,9.88,0
116263,-0.15,-0.17,9.86,0
116266,-0.13,-0.16,9.88,0
116269,-0.12,-0.18,9.87,0
116272,-0.13,-0.17,9.89,0
116275,-0.10,-0.16,9.88,0
116278,-0.12,-0.18,9.88,0
116280,-0.12,-0.18,9.88,0
116283,-0.11,-0.17,9.86,0
116286,-0.11,-0.19,9.89,0
116289,-0.12,-0.19,9.88,0
116292,-0.11,-0.18,9.86,0
116295,-0.14,-0.18,9.87,0
116297,-0.12,-0.16,9.88,0
116300,-0.10,-0.19,9.89,0
116303,-0.13,-0.19,9.87,0
116306,-0.11,-0.17,9.88,0
116309,-0.12,-0.15,9.89,0
116312,-0.10,-0.16,9.87,0
116315,-0.11,-0.15,9.89,0
116318,-0.11,-0.18,9.88,0
116321,-0.10,-0.18,9.88,0
116323,-0.13,-0.16,9.88,0
116326,-0.12,-0.18,9.87,0
116329,-0.12,-0.18,9.90,0
116332,-0.13,-0.16,9.90,0
116335,-0.11,-0.17,9.89,0
116338,-0.12,-0.18,9.89,0
116341,-0.12,-0.20,9.89,0
116343,-0.12,-0.17,9.89,0
116346,-0.13,-0.18,9.88,0
116349,-0.13,-0.18,9.89,0
116352,-0.14,-0.15,9.87,0
116355,-0.13,-0.17,9.88,0
116358,-0.12,-0.17,9.89,0
116361,-0.12,-0.17,9.87,0
116364,-0.11,-0.16,9.89,0
116367,-0.12,-0.18,9.87,0
116369,-0.11,-0.17,9.88,0
116372,-0.12,-0.16,9.89,0
116375,-0.14,-0.16,9.90,0
116378,-0.12,-0.18,9.89,0
116381,-0.11,-0.17,9.88,0
116384,-0.12,-0.17,9.88,0
116386,-0.11,-0.18,9.86,0
116389,-0.11,-0.16,9.86,0
116392,-0.14,-0.18,9.88,0
116395,-0.14,-0.19,9.88,0
116398,-0.12,-0.18,9.90,0
116401,-0.12,-0.18,9.90,0
116404,-0.11,-0.15,9.89,0
116407,-0.10,-0.19,9.89,0
116409,-0.10,-0.18,9.88,0
116412,-0.13,-0.17,9.88,0
116415,-0.13,-0.18,9.90,0
116418,-0.11,-0.18,9.89,0
116421,-0.11,-0.18,9.89,0
116424,-0.11,-0.16,9.87,0
116427,-0.11,-0.19,9.88,0
116430,-0.10,-0.18,9.88,0
116432,-0.11,-0.18,9.87,0
116435,-0.11,-0.19,9.88,0
116438,-0.12,-0.17,9.87,0
116441,-0.14,-0.19,9.87,0
116444,-0.11,-0.19,9.86,0
116447,-0.11,-0.16,9.87,0
116449,-0.12,-0.16,9.90,0
116452,-0.11,-0.17,9.90,0
116455,-0.13,-0.17,9.89,0
116458,-0.12,-0.18,9.88,0
116461,-0.12,-0.18,9.89,0
116464,-0.12,-0.18,9.89,0
116467,-0.11,-0.16,9.88,0
116470,-0.12,-0.16,9.87,0
116473,-0.14,-0.17,9.88,0
116475,-0.13,-0.18,9.87,0
116478,-0.13,-0.16,9.87,0
116481,-0.13,-0.17,9.89,0
116484,-0.11,-0.17,9.90,0
116487,-0.11,-0.17,9.88,0
116490,-0.15,-0.17,9.88,0
116493,-0.15,-0.17,9.87,0
116495,-0.13,-0.17,9.88,0
116498,-0.11,-0.18,9.88,0
116501,-0.13,-0.17,9.89,0
116504,-0.12,-0.16,9.89,0
116507,-0.10,-0.15,9.88,0
116510,-0.12,-0.17,9.88,0
116513,-0.11,-0.16,9.88,0
116516,-0.14,-0.17,9.88,0
116518,-0.11,-0.18,9.88,0
116521,-0.12,-0.17,9.89,0
116524,-0.11,-0.16,9.89,0
116527,-0.13,-0.18,9.88,0
116530,-0.11,-0.17,9.88,0
116533,-0.13,-0.18,9.89,0
116536,-0.12,-0.19,9.87,0
116538,-0.13,-0.16,9.89,0
116541,-0.11,-0.17,9.88,0
116544,-0.11,-0.17,9.89,0
116547,-0.11,-0.16,9.88,0
116550,-0.14,-0.15,9.87,0
