timestamp,acceleration_x,acceleration_y,acceleration_z,solenoid_status
98885,-0.32,0.94,9.84,0
98888,-0.32,0.97,9.83,0
98891,-0.29,0.96,9.83,0
98893,-0.33,0.98,9.81,0
98896,-0.32,0.96,9.82,0
98899,-0.31,0.97,9.81,0
98902,-0.34,0.98,9.82,0
98905,-0.31,0.98,9.83,0
98908,-0.32,0.98,9.79,0
98911,-0.33,0.95,9.81,0
98913,-0.32,0.97,9.81,0
98916,-0.31,0.98,9.83,0
98919,-0.31,0.97,9.83,0
98922,-0.32,0.97,9.82,0
98925,-0.33,0.95,9.83,0
98927,-0.34,0.97,9.80,0
98930,-0.31,0.95,9.83,0
98933,-0.31,0.95,9.82,0
98936,-0.32,0.96,9.81,0
98939,-0.31,0.96,9.81,0
98942,-0.33,0.95,9.83,0
98944,-0.31,0.97,9.82,0
98947,-0.30,0.96,9.81,0
98950,-0.30,0.96,9.83,0
98953,-0.33,0.97,9.82,0
98956,-0.32,0.95,9.82,0
98959,-0.32,0.99,9.81,0
98961,-0.32,0.98,9.82,0
98964,-0.30,0.96,9.81,0
98967,-0.29,0.98,9.83,0
98970,-0.32,0.98,9.82,0
98973,-0.34,0.95,9.83,0
98975,-0.32,0.98,9.82,0
98978,-0.31,0.97,9.83,0
98981,-0.31,0.97,9.83,0
98984,-0.31,0.98,9.83,0
98987,-0.33,0.98,9.82,0
98990,-0.33,0.98,9.83,0
98992,-0.30,0.97,9.84,0
98995,-0.33,0.95,9.83,0
98998,-0.33,0.98,9.80,0
99001,-0.31,0.98,9.81,0
99004,-0.31,0.96,9.82,0
99007,-0.31,0.97,9.81,0
99009,-0.32,0.97,9.81,0
99012,-0.31,0.98,9.83,0
99015,-0.31,1.00,9.82,0
99018,-0.32,0.97,9.83,0
99021,-0.34,0.97,9.82,0
99023,-0.30,0.96,9.83,0
99026,-0.34,0.96,9.82,0
99029,-0.33,0.98,9.83,0
99032,-0.32,0.96,9.80,0
99035,-0.30,0.97,9.82,0
99038,-0.32,0.96,9.82,0
99040,-0.33,0.97,9.82,0
